CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt
"Abbeville, SC",45.0,35932.0,0.0,22.76822599,16.53617657,17.0,1.003265531,3.35670159,1.106041998,0.217533005,28.17012236,69.10335602,19.1,0.693863458,25417.0,321.4,-1.324791711784677,0.6153846153846154,1.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0
"Accomack, VA",21.0,38690.0,0.0,20.88107587,19.10505367,13.6,8.593655771,8.967943638,5.127053747,0.481565018,27.90073574,61.10843083,20.4,1.192225788,33164.0,402.5,-1.039279689991686,0.5862068965517241,1.85,39.0,1.0,1.0,1.0,1.0,1.0,1.0
"Ada, ID",229.0,58431.0,1.0,26.43100175,10.46168746,7.5,7.112000306,0.682614946,17.17356616,1.216921193,1.065334574,86.48375875,11.7,0.512148555,392365.0,274.5,1.7736368745662237,0.7567567567567568,0.9528301886792453,174.0,1.0,1.0,1.0,1.0,1.0,1.0
"Adair, IA",28.0,51531.0,0.0,22.45508982,21.40067691,11.6,1.314761781,2.26978145,6.375785631,0.587491667,0.143191877,97.72194741,11.9,1.269883705,7682.0,326.5,0.16926781603452282,0.5,1.75,27.0,0.0,1.0,0.0,1.0,0.0,1.0
"Adair, KY",20.0,32007.0,0.0,22.54502573,15.32482847,15.1,1.70990566,4.682255119,9.259422345,1.700273463,2.685463122,94.114494,27.2,1.137884873,18656.0,478.2,-2.1029925088077963,0.45454545454545453,1.3333333333333333,62.0,0.0,1.0,0.0,1.0,1.0,1.0
"Adair, MO",29.0,40222.0,0.0,19.41656578,12.53563479,9.0,2.042410278,3.299713402,18.01778764,2.623406244,1.530831413,92.75198188,21.9,0.514704924,25607.0,326.6,0.908444465771306,0.35294117647058826,1.05,29.0,1.0,1.0,1.0,1.0,0.0,1.0
"Adair, OK",35.0,31572.0,0.0,28.02539347,12.93479698,14.3,5.277079751,4.539647392,7.278826956,1.684646742,0.23365516,42.13728343,28.4,1.058212929,22683.0,491.0,-1.9829667993174633,0.38461538461538464,0.6,30.0,1.0,1.0,1.0,0.0,0.0,0.0
"Adams, CO",96.0,62991.0,1.0,28.56026793,8.347316481,7.2,38.01559319,0.707179412,15.14838311,1.701609296,2.764247525,53.20842476,12.8,0.47215175,441603.0,262.8,1.9574425650043228,0.7583333333333333,0.7649253731343284,54.0,0.0,1.0,0.0,1.0,1.0,1.0
"Adams, IA",7.0,48162.0,0.0,21.07222636,21.34524696,10.1,0.91834202,0.2997713,6.422805721,0.320380712,0.198560437,97.34425416,12.5,1.022756328,4029.0,384.5,0.10831204078989097,0.6666666666666666,0.75,8.0,0.0,1.0,0.0,0.0,1.0,1.0
"Adams, ID",23.0,39943.0,0.0,19.19014085,20.8249497,11.6,2.364185111,2.475442914,10.669243,0.778661079,0.100603622,94.76861167,15.8,1.383567476,3976.0,307.5,0.3290935698651445,0.4,3.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0
"Adams, IL",43.0,47264.0,0.0,23.04069863,17.50592373,10.1,1.156431158,1.157202745,15.41878121,1.292438766,3.409683621,93.01223492,13.4,0.739120298,67103.0,319.6,0.6542431683481719,0.6774193548387096,1.59375,74.0,1.0,1.0,1.0,1.0,1.0,1.0
"Adams, IN",70.0,49251.0,0.0,31.15712333,13.8133597,13.9,4.106202926,8.75615299,8.645048653,1.356432975,0.296623724,94.57353069,12.8,0.555313061,34387.0,340.0,-0.5989237523123052,0.8461538461538461,1.2941176470588236,101.0,0.0,1.0,0.0,1.0,0.0,1.0
"Adams, MS",6.0,32673.0,0.0,22.27761092,15.84048054,13.9,6.656965043,4.83257954,22.24334569,3.914933369,53.10090721,38.65684119,29.6,1.084407364,32297.0,419.4,-1.266827165688692,0.4,1.1666666666666667,14.0,1.0,1.0,1.0,1.0,0.0,1.0
