CountySt,AGRITRSM_OPS12,BERRY_FARMS12,CONVS11,CSA12,DIRSALES_FARMS12,FFR11,FMRKT13,FSR11,GHVEG_FARMS12,GROC11,MEDHHINC15,METRO13,ORCHARD_FARMS12,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,POVRATE15,RECFAC11,SLHOUSE12,SNAPSPTH12,SPECS11,SUPERC11,VEG_FARMS12,2010_Census_Population,HDM,PCA
"Abbeville, SC",2.4849066497880004,1.0,2.5649493574615367,1.0,3.828641396489095,2.3978952727983707,1.0,2.3978952727983707,0.0,1.791759469228055,10.489383542349097,0.0,3.044522437723423,3.125365967071251,2.805550500237311,2.833213344056216,1.2139335083926288,0.10978849586751753,-1.480459974190694,2.9496883350525844,0.0,0.0,0.5270119896754565,1.0,0.0,3.044522437723423,10.143173520469649,5.772686453303412,1.324791711784677
"Accomack, VA",1.9459101490553132,1.0,3.367295829986474,0.0,3.091042453358316,2.995732273553991,1.0,3.6109179126442243,0.0,2.4849066497880004,10.563336447694558,0.0,2.1972245773362196,3.038843288027998,2.9499528901071654,2.6100697927420065,2.194770862549881,1.6364797141518295,-0.7101610633014646,3.0155349008501706,1.0,1.0,0.784917369255522,1.0,1.0,3.1780538303479458,10.409220229236109,5.997695096858618,1.039279689991686
"Ada, ID",2.1972245773362196,1.0,4.709530201312334,1.0,5.438079308923196,5.762051382780177,1.0,5.713732805509369,1.0,3.6109179126442243,10.975601849898009,1.0,3.9889840465642745,3.274537629903232,2.3477197706730917,2.0149030205422647,-0.36728106769135194,2.8439534712665955,0.20450793628224448,2.4595888418037104,1.0,1.0,0.41353152359243683,1.0,1.0,4.204692619390966,12.879947807995975,5.614951260949585,-1.7736368745662237
"Adair, IA",1.0986122886681098,1.0,2.0794415416798357,1.0,3.367295829986474,1.3862943611198906,1.0,1.9459101490553132,1.0,1.3862943611198906,10.849938847305134,0.0,2.3978952727983707,3.1115173065317014,3.063422552835958,2.451005098112319,0.824079583108782,1.8540745251416173,-0.5150149417172385,2.4765384001174837,1.0,0.0,0.8197285989034114,0.0,0.0,2.1972245773362196,8.94663520890585,5.788429948716486,-0.16926781603452282
"Adair, KY",1.9459101490553132,1.0,2.3978952727983707,1.0,3.044522437723423,2.1972245773362196,1.0,2.4849066497880004,1.0,1.6094379124341003,10.37370990785957,0.0,2.302585092994046,3.1155144531454058,2.729474288937449,2.714694743820879,1.5459133025014664,2.226721063180906,0.536653277611788,3.3032169733019514,1.0,1.0,0.7598169631642239,0.0,0.0,3.1780538303479458,9.833923089150218,6.170029055024225,2.1029925088077963
"Adair, MO",2.302585092994046,1.0,2.833213344056216,1.0,3.4011973816621555,2.995732273553991,1.0,3.044522437723423,1.0,1.3862943611198906,10.602169388594548,0.0,1.791759469228055,2.966126607884373,2.5285753717320927,2.1972245773362196,1.1968616001417414,2.891914325304841,0.9682781580165083,3.086486636822455,1.0,0.0,0.4152206503542999,1.0,1.0,1.791759469228055,10.150621030590434,5.788736180536365,-0.908444465771306
"Adair, OK",1.791759469228055,1.0,2.5649493574615367,1.0,3.58351893845611,2.302585092994046,0.0,1.791759469228055,0.0,1.3862943611198906,10.360025930828293,0.0,2.0794415416798357,3.3331110088239817,2.559921120114741,2.6602595372658615,1.5150497336961322,1.9863426216874813,0.5274743073122465,3.3463891451671604,0.0,0.0,0.7218380961025828,0.0,1.0,2.0794415416798357,10.02937102422638,6.19644412779452,1.9829667993174633
"Adams, CO",2.4849066497880004,1.0,4.787491742782046,1.0,4.574710978503383,5.5909869805108565,1.0,5.3230099791384085,1.0,4.060443010546419,11.05074713802576,1.0,2.4849066497880004,3.3520165187299003,2.1219401076883404,1.9740810260220096,-0.3324292437423835,2.7185537195129825,0.5374340367212842,2.5494451709255714,1.0,1.0,0.3867251060257779,1.0,1.0,3.1780538303479458,12.998166567400208,5.571393286610456,-1.9574425650043228
"Adams, IA",0.6931471805599453,1.0,1.0986122886681098,1.0,2.0794415416798357,1.3862943611198906,1.0,1.0986122886681098,0.0,0.6931471805599453,10.782325607359631,0.0,1.0986122886681098,3.0479558871603882,3.0608290900656927,2.312535423847214,-1.1719209957039267,1.8614107915997464,-1.1075096167633305,2.5257286443082556,0.0,1.0,0.7044611001152059,0.0,0.0,0.6931471805599453,8.301273485191347,5.951943788945699,-0.10831204078989097
"Adams, ID",1.791759469228055,0.0,1.6094379124341003,0.0,3.1780538303479458,0.6931471805599453,0.0,1.791759469228055,0.0,0.6931471805599453,10.595208716817995,0.0,1.6094379124341003,2.9543966497529643,3.036151772683843,2.451005098112319,0.91045087867668,2.3683019508701193,-0.23741860809052104,2.760009940032921,0.0,0.0,0.8685983048907306,0.0,0.0,1.9459101490553132,8.288031567776464,5.728475087246572,-0.3290935698651445
