CountySt,AGRITRSM_OPS12,AGRITRSM_RCT12,BERRY_ACRES12,BERRY_FARMS12,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,CONVS11,CSA12,DIRSALES12,DIRSALES_FARMS12,FFR11,FMRKT13,FOOD_TAX14,FSR11,GHVEG_FARMS12,GROC11,MEDHHINC15,METRO13,ORCHARD_ACRES12,ORCHARD_FARMS12,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV15,PCT_LACCESS_LOWI15,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,PC_DIRSALES12,PC_SNAPBEN12,POVRATE15,RECFAC11,SLHOUSE12,SNAPSPTH12,SODATAX_STORES14,SODATAX_VENDM14,SPECS11,SUPERC11,VEG_ACRES12,VEG_FARMS12,2010_Census_Population,HDM,Life Expectancy,PCA
"Abbeville, SC",11.0,65000.0,7.0,9.0,0.0,6.0,12.0,4.0,206.0,45.0,10.0,2.0,0.0,10.0,0.0,5.0,35932.0,0.0,107.0,20.0,22.76822599,16.53617657,17.0,1.003265531,0.296492006,3.35670159,0.591823839,1.106041998,0.147326408,0.217533005,28.17012236,69.10335602,8.223224622,25.00765991,19.1,0.0,0.0,0.693863458,0.0,6.0,2.0,0.0,46.0,20.0,25417.0,321.4,77.64999999999999,-1.324791711784677
"Acadia, LA",3.0,,0.0,0.0,0.0,0.0,39.0,2.0,620.0,31.0,31.0,0.0,0.0,20.0,0.0,23.0,42033.0,1.0,57.0,8.0,27.29833422,12.76609522,12.9,1.715960047,0.509444266,3.003941192,0.601998005,1.759924293,0.22754191,0.259316689,18.02243699,78.60230198,10.02425222,30.25108719,23.7,7.0,1.0,1.195244864,0.0,0.0,5.0,1.0,,7.0,,,,
"Accomack, VA",6.0,15000.0,,2.0,1.5,5.3,28.0,0.0,285.0,21.0,19.0,2.0,1.5,36.0,0.0,11.0,38690.0,0.0,43.0,8.0,20.88107587,19.10505367,13.6,8.593655771,0.797807027,8.967943638,2.092269243,5.127053747,1.346966359,0.481565018,27.90073574,61.10843083,8.554961878,25.90387917,20.4,2.0,1.0,1.192225788,1.5,5.3,4.0,1.0,5124.0,23.0,33164.0,402.5,76.8875,-1.039279689991686
"Ada, ID",8.0,700000.0,7.0,18.0,6.0,6.0,110.0,20.0,1230.0,229.0,317.0,10.0,6.0,302.0,9.0,36.0,58431.0,1.0,138.0,53.0,26.43100175,10.46168746,7.5,7.112000306,4.640322739,0.682614946,4.313359991,17.17356616,1.833083741,1.216921193,1.065334574,86.48375875,3.007915954,15.77120781,11.7,40.0,2.0,0.512148555,6.0,6.0,38.0,9.0,926.0,66.0,392365.0,274.5,79.91525423728814,1.7736368745662237
"Adair, IA",2.0,,,2.0,0.0,6.0,7.0,4.0,137.0,28.0,3.0,2.0,0.0,6.0,1.0,3.0,51531.0,0.0,15.0,10.0,22.45508982,21.40067691,11.6,1.314761781,1.374741502,2.26978145,1.288695076,6.375785631,1.354004477,0.587491667,0.143191877,97.72194741,18.29594017,12.87716484,11.9,2.0,0.0,1.269883705,6.0,6.0,0.0,0.0,30.0,8.0,7682.0,326.5,78.13333333333333,0.16926781603452282
"Adair, KY",6.0,19000.0,12.0,17.0,0.0,6.0,10.0,1.0,182.0,20.0,8.0,1.0,0.0,11.0,6.0,4.0,32007.0,0.0,19.0,9.0,22.54502573,15.32482847,15.1,1.70990566,2.314415942,4.682255119,5.26353085,9.259422345,1.465994341,1.700273463,2.685463122,94.114494,9.738869863,20.71336746,27.2,1.0,1.0,1.137884873,6.0,6.0,0.0,0.0,68.0,23.0,18656.0,478.2,76.01428571428572,-2.1029925088077963
"Adair, MO",9.0,39000.0,7.0,5.0,1.225,1.225,16.0,2.0,77.0,29.0,19.0,1.0,1.225,20.0,3.0,3.0,40222.0,0.0,22.0,5.0,19.41656578,12.53563479,9.0,2.042410278,3.157515563,3.299713402,9.10354895,18.01778764,2.459542055,2.623406244,1.530831413,92.75198188,3.002768787,15.50893497,21.9,2.0,0.0,0.514704924,1.225,1.225,1.0,1.0,17.0,5.0,25607.0,326.6,77.72,0.908444465771306
"Adair, OK",5.0,39000.0,23.0,5.0,4.5,4.5,12.0,6.0,99.0,35.0,9.0,0.0,4.5,5.0,0.0,3.0,31572.0,0.0,42.0,7.0,28.02539347,12.93479698,14.3,5.277079751,2.128780247,4.539647392,3.803321393,7.278826956,1.021917412,1.684646742,0.23365516,42.13728343,4.447838979,40.55558014,28.4,0.0,0.0,1.058212929,4.5,4.5,0.0,1.0,70.0,7.0,22683.0,491.0,75.34,-1.9829667993174633
"Adams, CO",11.0,422000.0,,1.0,0.0,0.0,119.0,4.0,502.0,96.0,267.0,6.0,0.0,204.0,4.0,57.0,62991.0,1.0,15.0,11.0,28.56026793,8.347316481,7.2,38.01559319,4.381709638,0.707179412,5.626211317,15.14838311,1.193410542,1.701609296,2.764247525,53.20842476,1.089579969,16.41510582,12.8,23.0,4.0,0.47215175,2.91,2.91,21.0,12.0,108.0,23.0,441603.0,262.8,77.97752808988764,1.9574425650043228
"Adams, IA",1.0,,,3.0,0.0,6.0,2.0,1.0,28.0,7.0,3.0,1.0,0.0,2.0,0.0,1.0,48162.0,0.0,,2.0,21.07222636,21.34524696,10.1,0.91834202,1.372649398,0.2997713,1.289802956,6.422805721,1.481474307,0.320380712,0.198560437,97.34425416,7.166624008,13.25999832,12.5,0.0,1.0,1.022756328,6.0,6.0,0.0,0.0,,1.0,4029.0,384.5,78.1,0.10831204078989097
"Adams, ID",5.0,166000.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,23.0,1.0,0.0,6.0,5.0,0.0,1.0,39943.0,0.0,6.0,4.0,19.19014085,20.8249497,11.6,2.364185111,1.628724512,2.475442914,5.034363691,10.669243,2.707789917,0.778661079,0.100603622,94.76861167,8.962868118,13.97065067,15.8,0.0,0.0,1.383567476,6.0,6.0,0.0,0.0,1.0,6.0,3976.0,307.5,79.0,0.3290935698651445
"Adams, IL",40.0,204000.0,,2.0,1.0,1.0,30.0,3.0,290.0,43.0,31.0,3.0,1.0,50.0,5.0,12.0,47264.0,0.0,35.0,10.0,23.04069863,17.50592373,10.1,1.156431158,3.72922892,1.157202745,3.171017875,15.41878121,2.741821363,1.292438766,3.409683621,93.01223492,4.317789292,19.35164452,13.4,7.0,1.0,0.739120298,6.25,6.25,6.0,2.0,76.0,14.0,67103.0,319.6,77.45555555555556,0.6542431683481719
